LAST_TO_END,FLIGHT_COUNT,SEG_KM_SUM
1,210,580717
7,140,293678
11,135,283712
97,23,281336
5,152,309928
79,92,294585
1,101,287042
3,73,287230
6,56,321489
15,64,375074
22,43,262013
6,145,271438
67,29,321529
3,118,179514
2,50,270067
65,22,234721
7,101,172231
45,40,284160
2,64,169358
24,38,332896
4,106,167113
6,23,214590
23,94,305250
74,20,222380
17,44,281837
17,62,243674
3,213,187917
11,74,148685
18,101,159129
11,87,149254
2,53,144076
8,95,149053
16,131,220948
3,95,148227
3,47,285144
108,25,220389
34,24,189813
125,54,141012
1,166,229303
34,81,140819
2,98,137876
3,35,201141
3,95,140803
13,46,256766
38,54,160825
22,21,185493
1,110,187588
7,134,140356
2,107,135811
304,70,219282
1,189,235687
4,87,132283
11,29,211369
1,48,130135
1,68,135374
4,111,216560
22,69,131660
4,126,204371
15,55,153868
21,76,214921
15,68,127335
1,77,136121
6,84,186821
14,96,204612
8,30,164001
19,85,121097
88,32,182563
19,34,170121
1,197,275800
7,30,184194
62,18,209911
19,64,137636
4,149,219108
13,61,143186
36,36,209839
22,22,170406
29,23,169224
18,16,163191
8,102,140220
6,81,159255
6,30,208687
12,127,170611
2,56,116728
1,79,208797
9,97,155881
2,158,205159
7,64,115300
13,51,137500
144,29,157056
1,69,114077
15,88,122619
15,42,162453
10,129,109813
14,67,123464
53,12,146784
4,100,162250
11,69,118726
34,17,125349
9,12,146784
4,54,144562
21,79,123985
5,87,105119
17,53,144682
17,92,134823
11,48,150537
3,90,108184
9,56,104663
4,146,191328
15,35,167150
63,33,174046
7,142,177357
44,31,204438
29,53,102999
14,21,159605
27,16,195712
3,85,155704
22,71,119961
2,130,167593
4,89,149557
11,83,103087
2,99,162215
27,40,198627
11,52,99524
10,65,119794
3,34,151642
6,83,149993
24,65,109089
23,18,146238
4,66,102689
2,52,105167
38,27,182561
1,193,209912
6,65,184730
59,14,144708
11,24,213058
17,89,177556
8,57,98104
12,101,140188
16,19,155552
24,95,140931
7,85,97855
22,108,169746
4,64,97250
3,113,204853
1,31,95766
5,79,129119
17,109,163010
18,19,201613
25,120,172352
1,45,116917
135,19,136374
184,22,135717
15,80,105118
6,82,106666
12,90,179472
157,17,143287
9,39,97116
11,102,102961
11,90,158149
7,125,176585
23,77,94142
6,79,157844
13,116,165365
15,58,91515
8,109,144321
9,180,182540
1,103,218087
8,107,155834
121,14,125796
2,149,155588
49,76,94185
3,55,94577
4,80,92022
16,40,139742
7,142,183472
23,14,126850
30,24,125340
18,13,126495
2,85,151736
3,68,117537
8,116,161730
2,123,89350
17,47,91018
95,14,123662
107,49,90602
2,86,157799
11,60,106278
4,110,166843
179,15,183480
2,67,119347
1,51,99034
69,74,96520
27,12,121632
6,59,85171
18,120,176951
3,60,88428
1,57,90553
57,43,195034
2,113,151060
23,42,165589
16,58,94554
30,16,184227
18,122,180074
6,72,91164
10,113,121394
2,77,157206
10,57,91658
13,16,115401
9,77,151637
3,88,117157
51,13,137604
3,124,113615
31,69,147549
1,66,86430
102,26,178921
4,59,94946
1,125,189177
11,97,171544
3,57,144505
5,64,262290
114,49,88903
2,58,84353
5,136,145540
4,68,148879
4,71,180226
16,116,130636
1,110,172640
12,105,145253
21,52,83356
3,106,167199
178,11,112128
13,59,92635
18,59,145433
26,83,94441
317,10,122320
1,116,136228
2,95,138873
6,79,151183
7,76,86061
1,100,91727
1,107,165304
290,25,109336
13,114,151625
9,57,84080
22,76,119514
99,11,111496
30,43,94144
22,20,148827
32,53,85000
4,56,82981
2,84,140535
6,111,141864
18,109,126167
5,60,98083
3,61,161499
9,43,93447
5,149,157683
4,43,111807
83,56,114358
3,94,109142
13,84,139338
9,16,107047
17,128,131315
2,124,130776
4,111,130622
1,77,134838
22,42,77936
1,124,160524
6,19,96503
45,53,134627
1,61,83245
1,17,105377
4,48,119036
22,26,94249
31,43,79426
61,87,115134
1,114,124499
20,54,75651
20,68,163454
6,112,134757
13,73,163958
38,49,80641
2,40,127004
5,82,135413
1,154,129582
13,58,145294
2,52,97731
8,43,78765
4,105,138593
4,97,116461
112,17,121870
59,32,77106
5,37,119320
5,86,159612
13,62,139995
11,67,127081
8,84,129836
8,117,132853
2,122,129272
24,87,131029
2,73,75413
8,97,113939
5,93,150612
8,83,134621
11,105,145865
56,27,164336
31,24,110964
2,137,122439
22,57,90144
7,50,89115
8,45,139898
1,109,122024
18,46,80830
17,77,139876
5,60,154736
6,66,151383
4,77,144030
16,77,80208
13,28,77108
113,34,143761
9,62,141413
34,53,73717
4,37,72741
65,94,126174
10,48,74411
5,52,73647
1,52,135689
33,59,127314
9,72,149171
13,47,76753
9,107,169750
23,96,136246
5,132,151273
2,168,130985
17,49,125237
136,12,103960
13,36,109695
77,21,137610
24,60,137654
33,84,117382
7,59,97219
1,118,139566
27,49,78417
4,74,113789
7,64,139827
19,47,71121
1,46,71012
7,115,115562
13,28,72232
351,12,100421
8,65,93221
66,24,183418
4,50,135574
5,98,141053
1,46,73338
17,61,114031
84,28,82659
68,28,73852
15,17,104641
1,51,72274
16,85,104969
2,128,147767
14,23,157186
2,78,121231
1,67,135439
1,96,131739
20,118,143796
48,86,128754
5,36,124032
83,10,99312
1,34,70486
2,23,74910
5,76,138952
19,45,145724
18,111,145458
25,47,82382
1,84,75766
1,134,116627
3,46,130782
6,96,135009
94,16,107690
11,83,133367
3,93,109943
6,13,159016
2,36,113253
11,73,123568
1,98,76759
3,116,140571
17,61,81113
13,85,70965
10,48,68459
6,104,137698
12,57,84129
9,43,130985
12,101,117880
2,69,141164
5,71,70069
5,124,118049
18,86,89195
12,82,120536
1,122,137879
20,18,136876
22,39,70792
4,83,112709
1,81,99888
34,66,111545
41,46,71622
3,75,131146
79,69,126180
10,45,68136
4,36,66829
1,106,130691
19,64,66612
6,61,132797
1,67,123556
30,52,125190
13,21,138363
9,100,116315
1,119,100147
20,79,74503
4,101,118160
5,116,129478
85,42,74368
3,82,126149
11,96,134194
11,79,124218
4,133,143216
15,73,134897
1,58,122349
135,19,130168
1,62,76356
5,46,67761
16,38,66550
23,65,112320
13,15,99645
2,93,127824
6,13,147883
4,60,118514
2,93,117159
15,83,134851
16,44,108388
8,62,112125
2,89,78410
2,78,121245
26,39,70142
14,101,102834
17,44,65769
32,31,69453
7,75,122158
18,93,106705
20,54,71496
18,73,76834
2,70,98334
14,36,102876
5,45,67936
14,97,66431
10,107,132823
8,123,111589
29,38,67361
13,98,129338
7,33,65345
6,39,68043
8,72,73670
6,83,126476
4,66,121756
37,46,120983
9,65,102504
5,99,123899
4,54,64453
16,65,107397
243,27,100143
21,36,72186
20,61,71752
32,49,65717
3,46,71260
6,103,125149
73,52,76072
9,36,68799
12,37,66530
14,100,64900
7,51,87589
12,69,125139
8,82,109233
17,13,95577
25,65,74458
5,45,74389
2,118,137477
11,75,127816
1,56,117444
6,73,128233
17,66,82682
6,21,139888
4,78,114244
2,90,122350
8,80,120362
85,20,121103
31,80,117968
34,95,104659
2,99,117708
17,90,128188
1,33,63453
12,73,110537
18,127,124500
158,83,114627
8,27,90731
1,97,149015
7,77,104572
65,19,86805
41,13,125853
1,139,129859
6,86,113677
2,82,123788
31,41,91797
2,72,120888
11,82,116502
4,83,66764
14,92,103985
25,49,98732
10,74,126274
4,78,106195
9,49,105720
29,44,69154
13,26,103395
2,85,124022
5,49,62116
5,69,105755
8,53,114734
67,11,134552
10,55,117957
14,39,63230
34,18,124386
22,63,137264
181,23,169931
13,55,103869
24,36,112436
8,43,69158
2,59,78595
4,69,98267
27,77,149556
21,75,113205
14,89,98446
1,51,71594
65,15,84976
10,51,121900
13,63,84110
3,67,114895
58,35,102698
3,31,112940
4,63,131617
1,95,112565
13,97,111809
9,67,124788
2,101,119673
21,60,131743
38,12,121632
3,48,63061
3,52,62006
9,11,80261
2,92,108930
1,67,116848
6,47,68720
46,109,144111
12,82,135759
21,68,107075
16,79,113061
11,74,119277
113,31,59830
8,34,87326
3,74,126760
7,7,85624
93,36,118329
9,43,71368
36,106,128750
3,89,106167
104,62,89752
11,36,63184
12,51,118422
5,69,119146
1,84,90564
5,68,109665
3,20,113068
89,27,106399
2,64,114718
7,113,147384
2,40,60149
2,80,138420
41,53,113194
1,109,123276
4,70,112890
9,35,62808
29,34,65969
27,88,110192
10,101,104916
15,44,123585
1,57,124821
11,43,70258
4,57,101773
11,82,121881
23,69,94964
44,63,102801
230,12,84488
17,69,99590
4,88,92775
3,59,133334
10,40,133403
86,13,113580
11,68,119701
3,69,119959
4,38,63749
18,97,95578
34,13,96745
3,84,124877
79,33,60566
25,61,129994
17,87,114443
13,17,105518
3,62,104351
2,79,102926
85,58,94188
48,26,126699
2,82,120396
7,94,110837
15,43,88958
9,49,82626
11,32,87009
4,82,119037
22,62,101808
18,67,95683
30,81,103927
7,86,105952
102,6,73392
69,9,91224
4,63,102466
66,38,124410
2,40,63801
9,73,120191
15,71,107032
1,74,86299
103,45,83894
1,127,131400
4,86,130146
29,58,114424
3,69,101139
43,38,78846
19,78,115093
68,16,96627
163,37,58302
5,76,116724
2,44,67601
3,99,87395
14,51,61100
5,66,114482
5,77,94084
2,106,104750
1,94,130742
27,89,109773
37,11,101908
17,19,114608
7,57,87522
18,65,110131
76,25,58213
26,51,57992
19,54,77707
46,13,118818
7,72,65267
2,93,118300
27,31,60318
4,78,99566
4,96,123933
20,58,99952
8,85,115207
5,65,92722
4,85,124859
88,14,79047
2,60,118246
8,39,60512
61,36,75213
46,17,109583
21,104,93309
15,50,125199
12,41,108363
195,20,77590
7,68,86064
2,99,105598
12,98,120774
8,89,106510
71,35,105725
6,78,105745
4,75,119758
15,56,57828
2,29,81848
45,55,100558
18,26,70104
5,66,94599
5,67,112610
17,65,99061
9,76,82442
4,38,58995
17,51,113913
3,71,109398
9,67,64594
25,61,108008
3,44,56219
1,120,101087
1,101,94342
8,34,58541
9,70,116485
28,34,90814
35,31,100130
62,44,102276
27,43,60630
34,62,104969
26,35,57698
4,51,92818
3,59,118571
6,54,64470
23,55,84601
69,34,84892
2,58,107038
3,83,95665
3,39,64329
18,65,102141
10,44,83527
1,64,124573
67,50,64381
83,27,55673
9,40,77198
2,72,107745
41,47,57158
1,70,112030
113,51,107440
1,52,98327
2,57,99434
2,56,87321
13,32,60308
1,65,94255
30,16,127164
8,81,110402
101,44,104867
11,96,107452
75,37,77098
10,63,108377
21,81,116556
13,82,127934
2,38,62200
38,25,63767
70,50,58964
6,66,95599
2,75,96092
12,70,119084
3,93,67658
2,97,98027
20,72,100623
5,65,105089
60,45,57094
10,27,53927
2,81,99333
8,74,123708
2,81,96407
63,43,87048
62,13,74307
2,68,87657
3,51,105499
36,65,94928
12,61,95828
3,34,54155
1,106,73656
10,68,117406
5,69,59262
9,31,54938
4,85,123956
9,85,115698
21,44,122665
2,82,84793
20,78,92800
288,35,98033
23,64,113219
3,49,106738
143,9,110088
105,44,128750
3,86,119842
7,45,101385
30,78,113329
