,CustAccountBalance,TransactionAmount (INR),recency,age
0,17819.05,25.0,2880,29
1,2270.69,27999.0,2880,66
2,17874.44,459.0,2880,27
3,866503.21,2060.0,2880,50
4,6714.43,1762.5,2880,35
5,53609.2,676.0,2880,51
6,973.46,566.0,2880,31
7,95075.54,148.0,2880,41
8,14906.96,833.0,2880,35
9,4279.22,289.11,2880,39
10,48429.49,259.0,2880,41
11,14613.46,202.0,2880,35
12,32274.78,12300.0,2880,45
13,59950.44,50.0,2911,31
14,10100.84,338.0,2911,45
15,1283.12,250.0,2911,55
16,77495.15,1423.11,2911,223
17,2177.85,54.0,2911,34
18,32816.17,315.0,2911,32
19,10643.5,945.0,2911,38
20,2934.22,36.0,2911,30
21,4470.15,27.0,2851,34
22,143.07,110.0,2851,223
23,12868.42,291.0,2851,37
24,2951.1,1892.0,2851,32
25,3297.74,242.0,2851,30
26,285.76,5500.0,2851,37
27,20986.66,2235.0,2851,30
28,969436.12,36.9,2851,223
29,298461.05,500.0,2851,56
30,6384.54,10.0,2851,32
31,57791.69,760.0,2851,38
32,123781.9,6800.0,2851,44
33,39.73,110.0,2851,46
34,11791.25,1075.0,2851,223
35,213.06,1081.0,2851,39
36,44627.73,2999.0,2851,26
37,113238.74,1350.0,2851,39
38,2477.42,683.0,2851,38
39,58406.7,50.0,2851,40
40,5810.82,12.0,2851,31
41,12545.18,179.0,2851,31
42,10630.88,421.8,2851,30
43,282455.64,900.0,2851,33
44,1589.43,90.0,2851,43
45,5055.18,13846.0,2851,42
46,25222.91,59.47,2851,34
47,2162.36,55.0,2880,42
48,22525.66,27990.0,2790,41
49,298357.41,1388.0,2790,41
50,9956.49,145.0,2790,57
51,2058.42,519.0,2790,29
52,8842.13,100.0,2790,35
53,196.83,150.0,2790,36
54,17070.89,107.0,2790,33
55,2502.74,1008.63,2790,29
56,91.66,110.0,2790,32
57,947.23,726.0,2790,39
58,10253.21,4387.0,2790,34
59,27852.19,1500.0,2790,35
60,13138.22,412.2,2790,48
61,250.26,60.0,2790,33
62,10067.44,262.0,2790,34
63,23952.37,35.0,2820,34
64,26387.17,1.0,2820,32
65,224685.48,339.92,2820,33
66,13968.07,101.0,2820,29
67,395743.6,9746.5,2911,38
68,87884.2,142.0,2911,41
69,5511.73,6259.72,2911,40
70,21291.71,213.0,2911,43
71,12903.39,666.0,2911,46
72,20.63,3998.0,2911,41
73,5922.11,507.0,2911,29
74,2.75,800.0,2911,29
75,134698.04,467.0,2911,43
76,15448.95,98.0,2911,39
