X,Y,Z,EDA,HR,TEMP
-13,-61,5,6.769995,99.43,31.17
-20,-69,-3,6.769995,99.43,31.17
-31,-78,-15,6.769995,99.43,31.17
-47,-65,-38,6.769995,99.43,31.17
-67,-57,-53,6.769995,99.43,31.17
-9,-57,-32,6.769995,99.43,31.17
9,-68,-2,6.769995,99.43,31.17
-6,-74,17,6.769995,99.43,31.17
-1,-68,-19,6.805877,99.43,31.17
-9,-63,-37,6.805877,99.43,31.17
-41,-73,-29,6.805877,99.43,31.17
-52,-74,-22,6.805877,99.43,31.17
-22,-78,-9,6.805877,99.43,31.17
-20,-73,-14,6.805877,99.43,31.17
-26,-71,-22,6.805877,99.43,31.17
-24,-67,-25,6.805877,99.43,31.17
-15,-60,-18,6.789217,99.43,31.17
-29,-53,-34,6.789217,99.43,31.17
1,-42,-16,6.789217,99.43,31.17
1,-42,-20,6.789217,99.43,31.17
14,-52,-10,6.789217,99.43,31.17
11,-68,-4,6.789217,99.43,31.17
11,-75,-5,6.789217,99.43,31.17
-5,-79,-12,6.789217,99.43,31.17
-5,-77,-12,6.752054,99.43,31.17
-6,-68,-23,6.752054,99.43,31.17
-8,-70,-25,6.752054,99.43,31.17
-17,-70,-26,6.752054,99.43,31.17
-5,-72,-21,6.752054,99.43,31.17
-12,-65,-16,6.752054,99.43,31.17
-12,-57,-18,6.752054,99.43,31.17
-26,-64,-10,6.752054,99.43,31.17
-27,-41,14,6.854573,99.72,31.21
33,-27,31,6.854573,99.72,31.21
17,-23,4,6.854573,99.72,31.21
-3,-23,6,6.854573,99.72,31.21
-74,-76,-32,6.854573,99.72,31.21
-101,-102,-34,6.854573,99.72,31.21
-30,-94,16,6.854573,99.72,31.21
2,-89,37,6.854573,99.72,31.21
-2,-81,19,6.828943,99.72,31.21
-43,-83,0,6.828943,99.72,31.21
-49,-76,13,6.828943,99.72,31.21
-30,-81,6,6.828943,99.72,31.21
-34,-66,9,6.828943,99.72,31.21
-26,-61,20,6.828943,99.72,31.21
-15,-45,33,6.828943,99.72,31.21
-12,-23,34,6.828943,99.72,31.21
-16,-14,34,6.907114,99.72,31.21
-32,3,29,6.907114,99.72,31.21
-36,7,26,6.907114,99.72,31.21
-40,8,28,6.907114,99.72,31.21
-44,7,29,6.907114,99.72,31.21
-45,-7,35,6.907114,99.72,31.21
-48,-10,42,6.907114,99.72,31.21
-57,-18,43,6.907114,99.72,31.21
-54,-23,44,6.781528,99.72,31.21
-46,-20,46,6.781528,99.72,31.21
-51,-20,49,6.781528,99.72,31.21
-52,-21,53,6.781528,99.72,31.21
-40,-14,50,6.781528,99.72,31.21
-52,-13,40,6.781528,99.72,31.21
-54,-16,39,6.781528,99.72,31.21
-51,-18,41,6.781528,99.72,31.21
-43,-22,59,6.798188,100,31.35
-29,-16,63,6.798188,100,31.35
-21,-2,55,6.798188,100,31.35
-23,2,45,6.798188,100,31.35
