,Education,Marital_Status,Income,Recency,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,total_products,frequent_purchases,total_child,age
0,2,4,58138.0,58,7,0,0,0,0,0,0,1617,25,0,66
1,2,4,46344.0,38,5,0,0,0,0,0,0,27,6,2,69
2,2,5,71613.0,26,4,0,0,0,0,0,0,776,21,0,58
3,2,5,26646.0,26,6,0,0,0,0,0,0,53,8,1,39
4,4,3,58293.0,94,5,0,0,0,0,0,0,422,19,1,42
5,3,5,62513.0,16,6,0,0,0,0,0,0,716,22,1,56
6,2,2,55635.0,34,6,0,0,0,0,0,0,590,21,1,52
7,4,3,33454.0,32,8,0,0,0,0,0,0,169,10,1,38
8,4,5,30351.0,19,9,0,0,0,0,0,0,46,6,1,49
9,4,5,5648.0,68,20,1,0,0,0,0,0,49,2,2,73
11,1,3,7500.0,59,8,0,0,0,0,0,0,61,6,0,47
12,2,2,63033.0,82,2,0,0,0,0,0,0,1102,16,0,64
13,3,2,59354.0,53,6,0,0,0,0,0,0,310,15,2,71
14,2,3,17323.0,38,8,0,0,0,0,0,0,46,5,0,36
15,4,4,82800.0,23,3,0,0,1,1,0,0,1315,26,0,77
16,2,3,41850.0,51,8,0,0,0,0,0,0,96,9,2,43
17,2,5,37760.0,20,7,0,0,0,0,0,0,317,13,0,77
18,3,3,76995.0,91,5,0,0,0,1,0,0,1782,26,1,74
19,0,4,33812.0,86,6,0,0,0,0,0,0,133,8,1,38
20,2,3,37040.0,41,8,0,0,0,0,0,0,316,12,0,41
21,2,3,2447.0,42,1,0,0,0,0,0,0,1730,43,1,44
22,4,3,58607.0,63,8,0,1,0,0,0,0,972,17,1,74
23,4,3,65324.0,0,4,0,0,0,0,0,0,544,20,1,69
24,2,5,40689.0,69,8,0,0,0,0,0,0,444,20,1,72
25,2,4,18589.0,89,7,0,0,0,0,0,0,75,8,0,54
26,2,3,53359.0,4,7,0,0,0,0,0,0,257,14,2,47
28,2,3,38360.0,26,3,0,0,0,0,0,0,131,9,1,34
29,4,3,84618.0,96,2,0,0,1,0,0,0,1672,26,0,58
30,3,2,10979.0,34,5,0,0,0,0,0,0,30,8,0,34
31,3,5,38620.0,56,3,0,0,0,0,0,0,318,11,0,60
32,2,5,40548.0,31,5,0,1,0,0,0,0,120,9,1,53
33,4,2,46610.0,8,6,0,0,0,0,0,0,302,17,2,71
34,3,3,68657.0,4,7,0,0,0,0,0,0,1196,18,0,77
35,3,4,49389.0,55,7,0,0,0,0,0,0,65,6,2,72
36,4,3,67353.0,37,2,0,0,0,0,0,0,913,28,1,53
37,0,3,23718.0,76,7,0,0,0,0,0,0,81,9,1,47
38,2,6,42429.0,99,5,0,0,0,0,0,0,67,7,1,50
39,4,2,48948.0,53,6,1,0,0,0,0,0,902,24,0,80
40,2,3,80011.0,3,4,0,0,0,0,0,0,1395,21,1,43
41,3,3,20559.0,88,8,0,0,0,0,0,0,53,7,1,38
42,2,5,21994.0,4,5,0,0,0,0,0,0,22,4,1,66
44,3,3,7500.0,19,5,0,0,0,0,0,0,31,8,1,48
45,2,4,79941.0,72,1,0,0,0,0,0,0,984,16,0,47
46,0,3,7500.0,24,9,0,0,0,0,0,0,122,10,0,27
47,2,5,41728.0,92,10,0,0,0,0,0,0,55,5,1,55
